Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Rastrigin-10d,random,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,cahotic,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,random,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,cahotic,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,random,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,cahotic,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,random,StandardABC,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,cahotic,StandardABC,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,random,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,cahotic,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,random,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,cahotic,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,random,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,cahotic,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Griewank-10d,random,StandardABC,0.0021363686879365185,0.00358524641233643,1.1102230246251565e-16,0.0,0.009857284607821426
Griewank-10d,cahotic,StandardABC,0.0004930693603174107,0.0018448966142212274,1.1102230246251565e-16,0.0,0.007396040404752502
Griewank-10d,random,ModifiedABC,4.4408920985006264e-17,5.438959822042074e-17,0.0,0.0,1.1102230246251565e-16
Griewank-10d,cahotic,ModifiedABC,5.181040781584064e-17,5.538765574740299e-17,0.0,0.0,1.1102230246251565e-16
Griewank-10d,random,ABC/best/1,0.003946051467996455,0.0043919682647221535,8.812506280264643e-12,0.0,0.012316072519268806
Griewank-10d,cahotic,ABC/best/1,0.0013152338084313115,0.0033504704879235734,6.661338147750939e-16,0.0,0.00985728831420174
Griewank-10d,random,ABC/best/2,0.0006602688256587719,0.0024600257761980223,4.806229525478045e-09,4.444222767574502e-12,0.009864771047625731
Griewank-10d,cahotic,ABC/best/2,2.1285380487808445e-08,7.054919711848327e-08,6.395306506590259e-10,1.1102230246251565e-16,2.8425055487169004e-07
Schwefel-10d,random,StandardABC,0.0001272756625742962,2.268678379413627e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566263492918
Schwefel-10d,cahotic,StandardABC,0.00012727566239239724,4.0219368994626487e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566263492918
Schwefel-10d,random,ModifiedABC,1366.8572705958602,91.56820440582685,1362.4835224924036,1165.6678784676947,1530.8073574896857
Schwefel-10d,cahotic,ModifiedABC,1238.2752325580939,129.2627853166213,1272.7676564189464,986.6184400197731,1420.2074963313376
Schwefel-10d,random,ABC/best/1,7.896016249958423,29.54371130582099,0.00012727566263492918,0.00012727566172543447,118.43846189010037
Schwefel-10d,cahotic,ABC/best/1,0.0001272756625742962,2.268678379413627e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566263492918
Schwefel-10d,random,ABC/best/2,0.00012727566221049831,4.5373567588272533e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566263492918
Schwefel-10d,cahotic,ABC/best/2,0.00012727566208923236,4.455595886216867e-13,0.00012727566172543447,0.00012727566172543447,0.00012727566263492918
Sumsquares-10d,random,StandardABC,8.376398098437147e-17,1.9908637633772692e-17,8.550248544183417e-17,4.6858891664687896e-17,1.0959014428379871e-16
Sumsquares-10d,cahotic,StandardABC,6.880808929791327e-17,2.0194529979925674e-17,6.847490188820986e-17,3.4696498068172245e-17,1.0553024854232717e-16
Sumsquares-10d,random,ModifiedABC,8.198819629876888e-17,2.246521577834509e-17,8.40429207954832e-17,1.9983186129153855e-17,1.0905229930944372e-16
Sumsquares-10d,cahotic,ModifiedABC,9.551095040645105e-17,2.0521261850659672e-17,9.895666065589158e-17,2.414965315039347e-17,1.0985103121990775e-16
Sumsquares-10d,random,ABC/best/1,9.988976431938857e-17,9.65497111843521e-18,1.0278404037509968e-16,8.279129257156222e-17,1.1041046995914913e-16
Sumsquares-10d,cahotic,ABC/best/1,8.59372991642748e-17,1.4371707602034006e-17,8.497265750452516e-17,5.973036731459765e-17,1.0994319152021324e-16
Sumsquares-10d,random,ABC/best/2,8.769775768592295e-17,1.7260017253382278e-17,9.030411995438131e-17,4.558257061964351e-17,1.0626923736338756e-16
Sumsquares-10d,cahotic,ABC/best/2,9.172967831378859e-17,1.4776959325845068e-17,9.488579260655595e-17,6.843289357077689e-17,1.1033257806208891e-16
