Function,Initialization,Mutation,OptValue
Ackley-2d,random,StandardABC,1.9307622167730187e-10
Ackley-2d,random,StandardABC,7.20103976448172e-11
Ackley-2d,random,StandardABC,8.853806576780698e-12
Ackley-2d,random,StandardABC,2.414094257829902e-09
Ackley-2d,random,StandardABC,2.981302760218796e-09
Ackley-2d,random,StandardABC,1.0260681193585697e-11
Ackley-2d,random,StandardABC,2.352220640489122e-10
Ackley-2d,random,StandardABC,2.1945556483160544e-11
Ackley-2d,random,StandardABC,2.0268675626766708e-11
Ackley-2d,random,StandardABC,6.001288355150791e-11
Ackley-2d,random,StandardABC,3.293054717801169e-11
Ackley-2d,random,StandardABC,5.648925771595259e-10
Ackley-2d,cahotic,StandardABC,4.409805853811122e-13
Ackley-2d,cahotic,StandardABC,2.712785551750585e-10
Ackley-2d,cahotic,StandardABC,7.6127948389626e-10
Ackley-2d,cahotic,StandardABC,8.090421665940539e-10
Ackley-2d,cahotic,StandardABC,4.30848690058383e-10
Ackley-2d,cahotic,StandardABC,5.040634576403136e-11
Ackley-2d,cahotic,StandardABC,3.8937639779135225e-09
Ackley-2d,cahotic,StandardABC,1.8878454355331087e-10
Ackley-2d,cahotic,StandardABC,4.773856865369908e-10
Ackley-2d,cahotic,StandardABC,6.413860553777795e-10
Ackley-2d,cahotic,StandardABC,1.0473844014313727e-11
Ackley-2d,cahotic,StandardABC,1.5225691818443465e-09
Ackley-2d,cahotic,StandardABC,1.6740746566767939e-09
Ackley-2d,cahotic,StandardABC,5.953681991854864e-11
Ackley-2d,cahotic,StandardABC,3.437041762310855e-10
Ackley-2d,random,ModifiedABC,1.3254326525213855e-09
Ackley-2d,random,ModifiedABC,1.547669103985072e-09
Ackley-2d,random,ModifiedABC,3.741583487482103e-09
Ackley-2d,random,ModifiedABC,8.661915629204486e-11
Ackley-2d,random,ModifiedABC,3.012410321190373e-09
Ackley-2d,random,ModifiedABC,1.0383452764273216e-08
Ackley-2d,random,ModifiedABC,9.349361285160285e-10
Ackley-2d,random,ModifiedABC,2.102120832958576e-08
Ackley-2d,random,ModifiedABC,3.135302240053761e-09
Ackley-2d,random,ModifiedABC,2.8098679383248282e-08
Ackley-2d,random,ModifiedABC,3.922430824587764e-09
Ackley-2d,random,ModifiedABC,2.0432985525786762e-08
Ackley-2d,random,ModifiedABC,3.0429068154091965e-09
Ackley-2d,random,ModifiedABC,1.504053459555621e-08
Ackley-2d,random,ModifiedABC,1.9152612384942813e-08
