Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Sphere-10d,random,ModifiedABC,2.84953944769708e-07,6.461282511456086e-08,2.6911051929013704e-07,1.5466445025841777e-07,3.9470623816113825e-07
Sphere-10d,cahotic,ModifiedABC,2.09294895858186e-07,8.55548414063925e-08,2.0574356400265206e-07,9.68429704281214e-08,4.2429912336045837e-07
Sphere-10d,random,ABC/best/1,9.2085504443685e-09,1.114028566750795e-08,5.459968251494876e-09,6.464057698900845e-10,4.2907784954942907e-08
Sphere-10d,cahotic,ABC/best/1,1.4421250932336084e-08,1.521666757004686e-08,7.00073141960648e-09,4.927525329491504e-10,3.9539415920154487e-08
Sphere-10d,random,ABC/best/2,2.1206117667665984e-08,2.1279075821407556e-08,9.885869497073918e-09,1.9497189227182283e-09,7.334442768553214e-08
Sphere-10d,cahotic,ABC/best/2,1.800859785323425e-08,1.9656421462134085e-08,8.815115933290275e-09,1.865777969782337e-11,6.256555020123235e-08
Sphere-10d,random,DirectedABC,2.0834288315608386e-11,3.327563343987701e-11,9.448978988647824e-13,3.2237968339848045e-15,1.1100685296181738e-10
Sphere-10d,cahotic,DirectedABC,9.707988937668687e-12,1.8611632655237134e-11,1.5844468932940015e-12,1.447824403485994e-15,7.1530179951652e-11
Rosenbrock-10d,random,StandardABC,0.019241590378982796,0.020456673939222632,0.010841664226736783,0.00042537373849069096,0.06121085831365236
Rosenbrock-10d,cahotic,StandardABC,0.004707211317118284,0.005096098544410997,0.0035186312048138767,0.00044160281265236373,0.020212145558936342
Rosenbrock-10d,random,ModifiedABC,4.508407362255054,0.45287885188818017,4.589001329303055,2.8417979291308457,4.753342263221866
Rosenbrock-10d,cahotic,ModifiedABC,3.5439075301618006,0.9090903886540459,3.573843015620791,1.487035413941207,5.164034713853784
Rosenbrock-10d,random,ABC/best/1,0.686063167919095,1.043202891364641,0.23504557794551023,0.0001046223216588775,3.9499988004506132
Rosenbrock-10d,cahotic,ABC/best/1,0.1232768673997395,0.3386924729330999,0.0017068084458016232,2.700596809924054e-05,1.360835040780164
Rosenbrock-10d,random,ABC/best/2,0.25327108487391164,0.39354491651409457,0.09498960025244839,0.001040714269611735,1.5508067006754216
Rosenbrock-10d,cahotic,ABC/best/2,0.007994916578366044,0.0111602075250004,0.003928343934267931,0.00034079795222192544,0.04085604300789646
Rosenbrock-10d,random,DirectedABC,0.006466023151551753,0.007148431739303924,0.002632226508496723,0.0004114174597435554,0.02127189319300997
Rosenbrock-10d,cahotic,DirectedABC,0.002667181691710428,0.002748982581547807,0.0012258439600835755,0.00045636524185840215,0.008991066732668524
Ackley-10d,random,StandardABC,1.8519325332514807e-10,2.8804506455823674e-10,3.359801326041634e-11,5.542233338928781e-13,1.1199645655324275e-09
Ackley-10d,cahotic,StandardABC,5.148990567249712e-10,4.980917197266204e-10,2.2360424623002473e-10,3.950617610826157e-12,1.6761916299401491e-09
Ackley-10d,random,ModifiedABC,1.1639376159185607e-08,1.1516557326646635e-08,6.663618989932729e-09,4.220872540372511e-10,3.4508371271613214e-08
Ackley-10d,cahotic,ModifiedABC,9.02787486249205e-09,6.027804710488511e-09,7.1466601525571605e-09,9.53022549765592e-10,1.96806553276474e-08
Ackley-10d,random,ABC/best/1,5.959156842057686e-09,6.6185100601751385e-09,4.1374335069122026e-09,9.770317888069258e-11,2.666660847694402e-08
Ackley-10d,cahotic,ABC/best/1,1.1152584752001833e-08,1.2435339840515817e-08,6.727113088800252e-09,7.282885405857087e-10,4.425262645213479e-08
Ackley-10d,random,ABC/best/2,1.754788077808674e-08,1.3368172398752297e-08,1.4453430452476823e-08,3.6409062431630446e-09,5.711446249279106e-08
Ackley-10d,cahotic,ABC/best/2,2.264682095187709e-08,1.7402809285549367e-08,1.8260617906662446e-08,1.5109122841749922e-09,7.115916034194925e-08
Ackley-10d,random,DirectedABC,5.690462027511482e-10,1.339664440638701e-09,8.490985692333197e-13,0.0,5.32415711518297e-09
Ackley-10d,cahotic,DirectedABC,3.1963314957768794e-10,5.427984797700746e-10,4.842348744205083e-11,0.0,2.0304398162807047e-09
Rastrigin-10d,random,StandardABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,cahotic,StandardABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,random,ModifiedABC,0.4686167786102686,1.0434220533752852,0.0013320300872692314,0.0,4.204280146448383
Rastrigin-10d,cahotic,ModifiedABC,1.1832508594535047,1.2511782845181645,0.281586952407622,0.0,2.9727098054291474
Rastrigin-10d,random,ABC/best/1,9.801575136710501e-09,1.222650698783019e-08,4.334452796683763e-09,1.2505552149377763e-11,3.5919498486691737e-08
Rastrigin-10d,cahotic,ABC/best/1,0.06633062033059313,0.24818639589543964,7.992298378667329e-09,2.7981172934232745e-10,0.9949590818295633
Rastrigin-10d,random,ABC/best/2,1.6099051928601208e-08,1.6418505283420643e-08,9.770204201231536e-09,6.825899845352978e-10,5.115123258292442e-08
Rastrigin-10d,cahotic,ABC/best/2,1.8302328423184615e-08,1.4591423723386018e-08,1.8912928112513328e-08,6.08665118306817e-10,4.579032975016162e-08
Rastrigin-10d,random,DirectedABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,cahotic,DirectedABC,0.0,0.0,0.0,0.0,0.0
Weierstrass-10d,random,StandardABC,1.8187525559672698e-12,2.8836156606480364e-12,2.1316282072803006e-13,0.0,9.79127889877418e-12
Weierstrass-10d,cahotic,StandardABC,4.552210460436375e-13,3.813831469286092e-13,4.654054919228656e-13,0.0,1.3287149158713873e-12
Weierstrass-10d,random,ModifiedABC,3.0539985071224386e-07,1.6790529506079053e-07,2.9804937895505645e-07,9.192138961111596e-08,7.572444857828486e-07
Weierstrass-10d,cahotic,ModifiedABC,2.567956807790021e-07,7.247668869445764e-08,2.6115133167081694e-07,1.2678449579084372e-07,4.0749029750486443e-07
Weierstrass-10d,random,ABC/best/1,2.231970176088301e-08,1.801583050606841e-08,2.7234907662432306e-08,2.1113422121743497e-10,6.113208073088572e-08
Weierstrass-10d,cahotic,ABC/best/1,1.728095355701953e-08,1.2976726325051357e-08,1.5165564803965026e-08,3.2527971427498414e-09,4.91491682907963e-08
Weierstrass-10d,random,ABC/best/2,4.130646663232558e-08,2.4791780606496575e-08,4.1479871981664473e-08,1.01038715172308e-08,1.1455097492785171e-07
Weierstrass-10d,cahotic,ABC/best/2,3.121035258383624e-08,2.5731667430966517e-08,2.103779905837655e-08,6.557808518437014e-09,8.768669701453291e-08
