Function,Initialization,Diversity
Griewank-2d,random,311.8449959261536
Griewank-2d,random,324.1415152898784
Griewank-2d,random,318.9302734418966
Griewank-2d,cahotic,336.84065542640434
Griewank-2d,cahotic,304.1352682968353
Griewank-2d,cahotic,303.96294005815906
Griewank-2d,cahotic,283.58710212075397
Griewank-2d,cahotic,306.9900429054009
Griewank-2d,cahotic,323.3096632581644
Griewank-2d,cahotic,324.704161620266
Griewank-2d,cahotic,299.75482219376494
Griewank-2d,cahotic,330.4002061749693
Griewank-2d,cahotic,313.2667966378696
Griewank-2d,cahotic,272.7455878875329
Griewank-2d,cahotic,256.73874798549076
Griewank-2d,cahotic,314.33597982897345
Griewank-2d,cahotic,321.8608992682997
Griewank-2d,cahotic,331.1552795079285
Schwefel-2d,random,268.4942891078048
Schwefel-2d,random,255.93513922478826
Schwefel-2d,random,289.8955288276499
Schwefel-2d,random,285.51245036626614
Schwefel-2d,random,269.1973391986044
Schwefel-2d,random,281.18884748924535
Schwefel-2d,random,269.29202596865275
Schwefel-2d,random,269.2893449289146
Schwefel-2d,random,283.0929417222283
Schwefel-2d,random,260.9710065741064
Schwefel-2d,random,278.91985497961934
Schwefel-2d,random,258.4076730266035
Schwefel-2d,random,277.12470473488526
Schwefel-2d,random,289.6568594396201
Schwefel-2d,random,286.73365667905665
Schwefel-2d,cahotic,331.0107211496714
Schwefel-2d,cahotic,314.4715939937373
Schwefel-2d,cahotic,323.5438071417823
Schwefel-2d,cahotic,333.30613098831475
Schwefel-2d,cahotic,304.1355123518129
Schwefel-2d,cahotic,310.2736431369347
Schwefel-2d,cahotic,349.63282976954576
Schwefel-2d,cahotic,336.3734829888431
Schwefel-2d,cahotic,348.60209973312203
Schwefel-2d,cahotic,325.0594852901767
Schwefel-2d,cahotic,329.3723802637037
Schwefel-2d,cahotic,325.2960214829236
Schwefel-2d,cahotic,339.6209005623631
Schwefel-2d,cahotic,319.6572090427678
Schwefel-2d,cahotic,324.0048925839353
Sumsquares-2d,random,5.591105102868787
Sumsquares-2d,random,5.578264544802123
Sumsquares-2d,random,5.280351961627715
Sumsquares-2d,random,5.596568942492718
Sumsquares-2d,random,5.3471970701414815
Sumsquares-2d,random,5.252015087178496
Sumsquares-2d,random,5.670027777632656
Sumsquares-2d,random,5.188180602258908
Sumsquares-2d,random,5.495371131222434
Sumsquares-2d,random,5.192835365306519
Sumsquares-2d,random,5.239071456631994
Sumsquares-2d,random,5.218214409445451
Sumsquares-2d,random,5.060296488863054
Sumsquares-2d,random,5.1774721627099085
Sumsquares-2d,random,5.776087571798968
Sumsquares-2d,cahotic,5.306293043761355
Sumsquares-2d,cahotic,4.86125965269878
Sumsquares-2d,cahotic,4.9798844642749005
Sumsquares-2d,cahotic,5.6284845672083295
Sumsquares-2d,cahotic,5.366251886898095
