Function,Initialization,Mutation,Mean,Median,Std,Best,Worst
Griewank-30d,cahotic,ABC/best/1,0.0024674443147518765,3.198235232204638e-09,0.003822607766297877,1.4748591237179198e-10,0.009870761798601357
Griewank-30d,random,ABC/best/2,0.0001036663858203668,2.084489749448748e-05,0.00023096705105175427,1.8325236328387007e-07,0.0007921600052370747
Griewank-30d,cahotic,ABC/best/2,0.0001682657567735113,1.6660380602329106e-05,0.00031339761110351776,8.095913006656019e-08,0.0010231867278466256
Schwefel-30d,random,ModifiedABC,1833.454386212027,1747.7003083982481,485.24987412266984,823.8748366289019,2554.547666653247
Schwefel-30d,cahotic,ModifiedABC,1846.1507469616595,1870.1014568065348,525.9892775032943,835.6670202518762,2538.662124164037
Schwefel-30d,random,ABC/best/1,23.688085476165362,0.0003819462554019992,47.37540710467077,0.0003818300501734484,118.43897744252354
Schwefel-30d,cahotic,ABC/best/1,0.0003818813745965599,0.00038186710935406154,3.945552734503139e-08,0.0003818321147264214,0.00038194831176951993
Schwefel-30d,random,ABC/best/2,0.000383307465017424,0.00038314286121021723,1.0511191495918311e-06,0.00038217597648326773,0.00038586955452046823
Schwefel-30d,cahotic,ABC/best/2,0.0003824882367553073,0.00038233859322645003,5.889632309152489e-07,0.00038207481884455774,0.00038421485623985063
Sumsquares-30d,random,ModifiedABC,0.01440069159324856,0.0072876943615813265,0.01653815961570681,0.0010098536649868234,0.05504459234668819
Sumsquares-30d,cahotic,ModifiedABC,0.01703074585915431,0.010006341649714284,0.01707021189332279,0.0024910404208362343,0.0578041096306524
Sumsquares-30d,random,ABC/best/1,4.265593660499924e-08,4.0377994329923685e-08,2.9366468729606652e-08,8.066706383896982e-10,9.510442138741619e-08
Sumsquares-30d,cahotic,ABC/best/1,6.411373867497455e-08,6.39188988593379e-08,3.816150037327187e-08,9.285800552227155e-09,1.3764793897274463e-07
Sumsquares-30d,random,ABC/best/2,1.1366657628324974e-07,1.0085530905888313e-07,6.069539696526547e-08,5.0973373124288796e-08,2.3677665980331322e-07
Sumsquares-30d,cahotic,ABC/best/2,1.822279664440506e-07,1.569403495128198e-07,1.251119182382826e-07,9.97487516600009e-10,3.8972056065780234e-07
